,model,technique,roc_auc values,roc_auc (mean),roc_auc (std),f1_0.5 values,f1_0.5 (mean),f1_0.5 (std),average_time
0,GPT-3.5,binary,"[0.7791912404821169, 0.7815760756280883, 0.777474649631546, 0.7842163558411089, 0.7772396401698607, 0.7685584347908474]",0.78,0.0,"[0.7596253902185223, 0.7615062761506276, 0.7588357588357587, 0.7650727650727651, 0.7575442247658689, 0.7663157894736843]",0.76,0.0,0.98
1,GPT-4o-mini,binary,"[0.7996942833437555, 0.8046473068359468, 0.8003236999889649, 0.7983659689950996, 0.7960260921809287, 0.9]",0.82,0.04,"[0.7675804529201431, 0.888888888888889, 0.7672209026128266, 0.7672209026128266, 0.7808383233532935, 0.7725118483412322]",0.79,0.04,1.16
2,GPT-4o,binary,"[0.7922230260226999, 0.7860249069158176, 0.7929239672866829, 0.7861945224403383, 0.7872387818744355, 0.7866762992088682]",0.79,0.0,"[0.7662037037037037, 0.7583815028901734, 0.7678160919540231, 0.7598152424942264, 0.7615740740740741, 0.767816091954023]",0.76,0.0,1.29
3,GPT-5-Chat,binary,"[0.7956092058315044, 0.7990260390483548, 0.7887346681870757, 0.7987378970127232, 0.7917387021755746, 0.791882609313563]",0.79,0.0,"[0.770472895040369, 0.7745664739884391, 0.7624565469293162, 0.7722543352601156, 0.7665505226480837, 0.7735849056603774]",0.77,0.0,1.58
4,DeepSeek-V2,binary,"[0.6556130477253128, 0.6546811841207172, 0.6604521990754932, 0.6526274057816415, 0.6544686538249324, 0.6452092810345321]",0.65,0.0,"[0.6343975283213181, 0.6343975283213181, 0.6376811594202898, 0.6347914547304171, 0.636826042726348, 0.6296670030272452]",0.63,0.0,1.17
5,DeepSeek-V3,binary,"[0.8123786062816808, 0.810891089108911, 0.8139963996399641, 0.8106826472120896, 0.8116680089061538, 0.7809262326336702]",0.81,0.01,"[0.8013392857142857, 0.8013318534961154, 0.8040089086859689, 0.8008898776418243, 0.8, 0.7861197798374605]",0.8,0.01,1.9
6,Mistral,binary,"[0.7944688990521965, 0.7984395371744097, 0.8010021620870476, 0.7968905182878232, 0.8031581184529428, 0.8012821298805335]",0.8,0.0,"[0.7571580063626724, 0.7542372881355933, 0.7625133120340788, 0.7523910733262488, 0.7646432374866879, 0.7601713062098502]",0.76,0.0,1.27
