Model,f1_mean,f1_std,precision_mean,precision_std,avg_time_mean,avg_time_std
gpt-35-turbo (I/O),0.6630,0.0169,0.7291,0.0221,3.9338,0.1327
DeepSeek-V3-0324 (I/O),0.7272,0.0169,0.7174,0.0164,6.9498,1.5977
gpt-4o-mini (I/O),0.7006,0.0257,0.7148,0.0237,4.2780,0.4194
gpt-4 (I/O),0.7333,0.0197,0.7229,0.0199,5.0659,0.2456
gpt-4o (I/O),0.7198,0.0123,0.7100,0.0118,4.9434,0.0690
gpt-5-chat (I/O),0.7014,0.0120,0.6930,0.0120,5.6362,0.2880
mistral (I/O),0.7042,0.0214,0.7323,0.0264,5.7297,0.0428
deepseek-v2 (I/O),0.6659,0.0207,0.6854,0.0171,4.5121,0.0873
