Model,f1_mean,f1_std,precision_mean,precision_std,avg_time_mean,avg_time_std
gpt-35-turbo (I/O),0.6547,0.0138,0.6943,0.0230,1.3250,0.0281
DeepSeek-V3-0324 (I/O),0.7631,0.0198,0.7534,0.0197,2.0642,0.0657
gpt-4o-mini (I/O),0.7081,0.0090,0.7239,0.0109,1.3892,0.0542
gpt-4 (I/O),0.7169,0.0084,0.7087,0.0086,1.7093,0.0414
gpt-4o (I/O),0.7250,0.0092,0.7168,0.0117,1.6872,0.0400
gpt-5-chat (I/O),0.6955,0.0291,0.6848,0.0298,1.5870,0.0350
mistral (I/O),0.6766,0.0000,0.6917,0.0000,2.0455,0.0163
deepseek-v2 (I/O),0.5774,0.0000,0.5711,0.0000,1.7063,0.0126
